disease_name,state,year,no_of_death,county_name
"Diarrheal Diseases",OH,2011,15,Defiance
"Diarrheal Diseases",AL,2011,86,DeKalb
"Diarrheal Diseases",GA,2011,169,DeKalb
"Diarrheal Diseases",IL,2011,58,DeKalb
"Diarrheal Diseases",IN,2011,30,DeKalb
"Diarrheal Diseases",MO,2011,13,DeKalb
"Diarrheal Diseases",TN,2011,27,DeKalb
"Diarrheal Diseases",CA,2011,12,"Del Norte"
"Diarrheal Diseases",IA,2011,16,Delaware
"Diarrheal Diseases",IN,2011,49,Delaware
"Diarrheal Diseases",NY,2011,24,Delaware
"Diarrheal Diseases",OH,2011,59,Delaware
"Diarrheal Diseases",OK,2011,39,Delaware
"Diarrheal Diseases",PA,2011,181,Delaware
"Diarrheal Diseases",CO,2011,45,Delta
"Diarrheal Diseases",MI,2011,54,Delta
"Diarrheal Diseases",TX,2011,3,Delta
"Diarrheal Diseases",AK,2011,0,Denali
"Diarrheal Diseases",MO,2011,20,Dent
"Diarrheal Diseases",TX,2011,716,Denton
"Diarrheal Diseases",CO,2011,320,Denver
"Diarrheal Diseases",IA,2011,31,"Des Moines"
"Diarrheal Diseases",OR,2011,201,Deschutes
"Diarrheal Diseases",AR,2011,19,Desha
"Diarrheal Diseases",FL,2011,60,DeSoto
"Diarrheal Diseases",MS,2011,328,DeSoto
"Diarrheal Diseases",NE,2011,0,Deuel
"Diarrheal Diseases",SD,2011,2,Deuel
"Diarrheal Diseases",OK,2011,2,Dewey
"Diarrheal Diseases",SD,2011,11,Dewey
"Diarrheal Diseases",TX,2011,12,DeWitt
"Diarrheal Diseases",TX,2011,0,Dickens
"Diarrheal Diseases",VA,2011,8,Dickenson
"Diarrheal Diseases",ND,2011,7,Dickey
"Diarrheal Diseases",IA,2011,12,Dickinson
"Diarrheal Diseases",KS,2011,9,Dickinson
"Diarrheal Diseases",MI,2011,15,Dickinson
"Diarrheal Diseases",TN,2011,38,Dickson
"Diarrheal Diseases",AK,2011,1,Dillingham
"Diarrheal Diseases",SC,2011,64,Dillon
"Diarrheal Diseases",TX,2011,4,Dimmit
"Diarrheal Diseases",VA,2011,18,Dinwiddie
"Diarrheal Diseases",DC,2011,643,"District of Columbia"
"Diarrheal Diseases",ND,2011,1,Divide
"Diarrheal Diseases",FL,2011,17,Dixie
"Diarrheal Diseases",NE,2011,3,Dixon
"Diarrheal Diseases",WV,2011,2,Doddridge
"Diarrheal Diseases",GA,2011,16,Dodge
"Diarrheal Diseases",MN,2011,10,Dodge
"Diarrheal Diseases",NE,2011,15,Dodge
"Diarrheal Diseases",WI,2011,61,Dodge
"Diarrheal Diseases",CO,2011,0,Dolores
"Diarrheal Diseases",NM,2011,102,"Dona Ana"
"Diarrheal Diseases",KS,2011,10,Doniphan
"Diarrheal Diseases",TX,2011,6,Donley
"Diarrheal Diseases",GA,2011,5,Dooly
"Diarrheal Diseases",WI,2011,28,Door
"Diarrheal Diseases",MD,2011,39,Dorchester
"Diarrheal Diseases",SC,2011,45,Dorchester
"Diarrheal Diseases",GA,2011,54,Dougherty
"Diarrheal Diseases",CO,2011,423,Douglas
"Diarrheal Diseases",GA,2011,59,Douglas
"Diarrheal Diseases",IL,2011,15,Douglas
"Diarrheal Diseases",KS,2011,34,Douglas
"Diarrheal Diseases",MN,2011,18,Douglas
"Diarrheal Diseases",MO,2011,18,Douglas
"Diarrheal Diseases",NE,2011,275,Douglas
"Diarrheal Diseases",NV,2011,64,Douglas
"Diarrheal Diseases",OR,2011,104,Douglas
"Diarrheal Diseases",SD,2011,0,Douglas
"Diarrheal Diseases",WA,2011,26,Douglas
"Diarrheal Diseases",WI,2011,59,Douglas
"Diarrheal Diseases",AR,2011,24,Drew
"Diarrheal Diseases",IN,2011,41,Dubois
"Diarrheal Diseases",IA,2011,42,Dubuque
"Diarrheal Diseases",UT,2011,6,Duchesne
"Diarrheal Diseases",MA,2011,15,Dukes
"Diarrheal Diseases",NE,2011,2,Dundy
"Diarrheal Diseases",MO,2011,30,Dunklin
"Diarrheal Diseases",ND,2011,1,Dunn
"Diarrheal Diseases",WI,2011,69,Dunn
"Diarrheal Diseases",IL,2011,229,DuPage
"Diarrheal Diseases",NC,2011,47,Duplin
"Diarrheal Diseases",NC,2011,94,Durham
"Diarrheal Diseases",NY,2011,316,Dutchess
"Diarrheal Diseases",FL,2011,597,Duval
"Diarrheal Diseases",TX,2011,7,Duval
"Diarrheal Diseases",TN,2011,45,Dyer
"Diarrheal Diseases",CO,2011,58,Eagle
"Diarrheal Diseases",GA,2011,9,Early
"Diarrheal Diseases",LA,2011,713,"East Baton Rouge"
"Diarrheal Diseases",LA,2011,3,"East Carroll"
"Diarrheal Diseases",LA,2011,40,"East Feliciana"
"Diarrheal Diseases",TX,2011,11,Eastland
"Diarrheal Diseases",MI,2011,53,Eaton
"Diarrheal Diseases",WI,2011,108,"Eau Claire"
"Diarrheal Diseases",GA,2011,1,Echols
"Diarrheal Diseases",TX,2011,46,Ector
"Diarrheal Diseases",ND,2011,2,Eddy
"Diarrheal Diseases",NM,2011,97,Eddy
"Diarrheal Diseases",IL,2011,16,Edgar
"Diarrheal Diseases",NC,2011,84,Edgecombe
"Diarrheal Diseases",SC,2011,11,Edgefield
"Diarrheal Diseases",KY,2011,13,Edmonson
"Diarrheal Diseases",SD,2011,1,Edmunds
"Diarrheal Diseases",IL,2011,4,Edwards
"Diarrheal Diseases",KS,2011,2,Edwards
"Diarrheal Diseases",TX,2011,0,Edwards
"Diarrheal Diseases",GA,2011,28,Effingham
"Diarrheal Diseases",IL,2011,22,Effingham
"Diarrheal Diseases",CA,2011,195,"El Dorado"
"Diarrheal Diseases",CO,2011,212,"El Paso"
"Diarrheal Diseases",TX,2011,1131,"El Paso"
"Diarrheal Diseases",CO,2011,41,Elbert
"Diarrheal Diseases",GA,2011,18,Elbert
"Diarrheal Diseases",KS,2011,4,Elk
"Diarrheal Diseases",PA,2011,29,Elk
"Diarrheal Diseases",IN,2011,84,Elkhart
"Diarrheal Diseases",NV,2011,10,Elko
"Diarrheal Diseases",KY,2011,4,Elliott
"Diarrheal Diseases",KS,2011,28,Ellis
"Diarrheal Diseases",OK,2011,3,Ellis
"Diarrheal Diseases",TX,2011,82,Ellis
"Diarrheal Diseases",KS,2011,6,Ellsworth
"Diarrheal Diseases",AL,2011,67,Elmore
"Diarrheal Diseases",ID,2011,9,Elmore
"Diarrheal Diseases",GA,2011,18,Emanuel
"Diarrheal Diseases",UT,2011,7,Emery
"Diarrheal Diseases",IA,2011,5,Emmet
"Diarrheal Diseases",MI,2011,47,Emmet
"Diarrheal Diseases",ND,2011,3,Emmons
"Diarrheal Diseases",VA,2011,6,"Emporia City"
"Diarrheal Diseases",TX,2011,57,Erath
"Diarrheal Diseases",NY,2011,572,Erie
"Diarrheal Diseases",OH,2011,131,Erie
"Diarrheal Diseases",PA,2011,497,Erie
"Diarrheal Diseases",AL,2011,26,Escambia
"Diarrheal Diseases",FL,2011,545,Escambia
"Diarrheal Diseases",NV,2011,0,Esmeralda
"Diarrheal Diseases",MA,2011,1199,Essex
"Diarrheal Diseases",NJ,2011,615,Essex
"Diarrheal Diseases",NY,2011,16,Essex
"Diarrheal Diseases",VA,2011,8,Essex
"Diarrheal Diseases",VT,2011,5,Essex
"Diarrheal Diseases",KY,2011,21,Estill
"Diarrheal Diseases",AL,2011,101,Etowah
"Diarrheal Diseases",NV,2011,1,Eureka
"Diarrheal Diseases",LA,2011,38,Evangeline
"Diarrheal Diseases",GA,2011,7,Evans
"Diarrheal Diseases",AK,2011,68,"Fairbanks North Star"
"Diarrheal Diseases",VA,2011,2341,Fairfax
"Diarrheal Diseases",VA,2011,20,"Fairfax City"
"Diarrheal Diseases",CT,2011,771,Fairfield
"Diarrheal Diseases",OH,2011,89,Fairfield
"Diarrheal Diseases",SC,2011,14,Fairfield
"Diarrheal Diseases",SD,2011,3,"Fall River"
"Diarrheal Diseases",MT,2011,1,Fallon
"Diarrheal Diseases",TX,2011,10,Falls
"Diarrheal Diseases",VA,2011,8,"Falls Church City"
"Diarrheal Diseases",GA,2011,16,Fannin
"Diarrheal Diseases",TX,2011,49,Fannin
"Diarrheal Diseases",MN,2011,3,Faribault
"Diarrheal Diseases",SD,2011,0,Faulk
"Diarrheal Diseases",AR,2011,91,Faulkner
"Diarrheal Diseases",VA,2011,31,Fauquier
"Diarrheal Diseases",AL,2011,22,Fayette
"Diarrheal Diseases",GA,2011,46,Fayette
"Diarrheal Diseases",IA,2011,24,Fayette
"Diarrheal Diseases",IL,2011,18,Fayette
"Diarrheal Diseases",IN,2011,10,Fayette
"Diarrheal Diseases",KY,2011,367,Fayette
"Diarrheal Diseases",OH,2011,15,Fayette
"Diarrheal Diseases",PA,2011,210,Fayette
"Diarrheal Diseases",TN,2011,58,Fayette
"Diarrheal Diseases",TX,2011,26,Fayette
"Diarrheal Diseases",WV,2011,32,Fayette
"Diarrheal Diseases",TN,2011,9,Fentress
"Diarrheal Diseases",MT,2011,14,Fergus
"Diarrheal Diseases",WA,2011,4,Ferry
"Diarrheal Diseases",MN,2011,8,Fillmore
"Diarrheal Diseases",NE,2011,5,Fillmore
"Diarrheal Diseases",KS,2011,70,Finney
"Diarrheal Diseases",TX,2011,2,Fisher
"Diarrheal Diseases",FL,2011,133,Flagler
"Diarrheal Diseases",MT,2011,90,Flathead
"Diarrheal Diseases",KY,2011,28,Fleming
"Diarrheal Diseases",SC,2011,138,Florence
"Diarrheal Diseases",WI,2011,2,Florence
"Diarrheal Diseases",GA,2011,78,Floyd
"Diarrheal Diseases",IA,2011,14,Floyd
"Diarrheal Diseases",IN,2011,133,Floyd
"Diarrheal Diseases",KY,2011,23,Floyd
"Diarrheal Diseases",TX,2011,6,Floyd
"Diarrheal Diseases",VA,2011,5,Floyd
"Diarrheal Diseases",VA,2011,21,Fluvanna
"Diarrheal Diseases",TX,2011,0,Foard
"Diarrheal Diseases",WI,2011,38,"Fond du Lac"
"Diarrheal Diseases",IL,2011,5,Ford
"Diarrheal Diseases",KS,2011,13,Ford
"Diarrheal Diseases",PA,2011,10,Forest
"Diarrheal Diseases",WI,2011,7,Forest
"Diarrheal Diseases",MS,2011,41,Forrest
"Diarrheal Diseases",GA,2011,284,Forsyth
"Diarrheal Diseases",NC,2011,554,Forsyth
"Diarrheal Diseases",TX,2011,180,"Fort Bend"
"Diarrheal Diseases",ND,2011,1,Foster
"Diarrheal Diseases",IN,2011,15,Fountain
"Diarrheal Diseases",AL,2011,29,Franklin
"Diarrheal Diseases",AR,2011,13,Franklin
"Diarrheal Diseases",FL,2011,9,Franklin
"Diarrheal Diseases",GA,2011,31,Franklin
"Diarrheal Diseases",IA,2011,12,Franklin
"Diarrheal Diseases",ID,2011,5,Franklin
"Diarrheal Diseases",IL,2011,50,Franklin
"Diarrheal Diseases",IN,2011,27,Franklin
"Diarrheal Diseases",KS,2011,13,Franklin
"Diarrheal Diseases",KY,2011,33,Franklin
"Diarrheal Diseases",LA,2011,18,Franklin
"Diarrheal Diseases",MA,2011,106,Franklin
"Diarrheal Diseases",ME,2011,32,Franklin
"Diarrheal Diseases",MO,2011,65,Franklin
"Diarrheal Diseases",MS,2011,4,Franklin
"Diarrheal Diseases",NC,2011,18,Franklin
"Diarrheal Diseases",NE,2011,3,Franklin
"Diarrheal Diseases",NY,2011,31,Franklin
"Diarrheal Diseases",OH,2011,498,Franklin
"Diarrheal Diseases",PA,2011,86,Franklin
"Diarrheal Diseases",TN,2011,12,Franklin
"Diarrheal Diseases",TX,2011,3,Franklin
"Diarrheal Diseases",VA,2011,17,Franklin
"Diarrheal Diseases",VT,2011,57,Franklin
"Diarrheal Diseases",WA,2011,41,Franklin
"Diarrheal Diseases",VA,2011,3,"Franklin City"
"Diarrheal Diseases",MD,2011,124,Frederick
"Diarrheal Diseases",VA,2011,90,Frederick
"Diarrheal Diseases",VA,2011,4,"Fredericksburg City"
"Diarrheal Diseases",MN,2011,13,Freeborn
"Diarrheal Diseases",TX,2011,17,Freestone
"Diarrheal Diseases",CO,2011,34,Fremont
"Diarrheal Diseases",IA,2011,2,Fremont
"Diarrheal Diseases",ID,2011,8,Fremont
"Diarrheal Diseases",WY,2011,19,Fremont
"Diarrheal Diseases",CA,2011,325,Fresno
"Diarrheal Diseases",TX,2011,6,Frio
"Diarrheal Diseases",NE,2011,0,Frontier
"Diarrheal Diseases",AR,2011,14,Fulton
"Diarrheal Diseases",GA,2011,532,Fulton
"Diarrheal Diseases",IL,2011,47,Fulton
"Diarrheal Diseases",IN,2011,16,Fulton
"Diarrheal Diseases",KY,2011,4,Fulton
"Diarrheal Diseases",NY,2011,77,Fulton
"Diarrheal Diseases",OH,2011,16,Fulton
"Diarrheal Diseases",PA,2011,10,Fulton
"Diarrheal Diseases",NE,2011,5,Furnas
"Diarrheal Diseases",FL,2011,26,Gadsden
"Diarrheal Diseases",NE,2011,9,Gage
"Diarrheal Diseases",TX,2011,6,Gaines
"Diarrheal Diseases",VA,2011,10,"Galax City"
"Diarrheal Diseases",IL,2011,1,Gallatin
"Diarrheal Diseases",KY,2011,5,Gallatin
"Diarrheal Diseases",MT,2011,32,Gallatin
"Diarrheal Diseases",OH,2011,22,Gallia
"Diarrheal Diseases",TX,2011,183,Galveston
"Diarrheal Diseases",NE,2011,1,Garden
"Diarrheal Diseases",CO,2011,12,Garfield
"Diarrheal Diseases",MT,2011,1,Garfield
"Diarrheal Diseases",NE,2011,1,Garfield
"Diarrheal Diseases",OK,2011,45,Garfield
"Diarrheal Diseases",UT,2011,2,Garfield
"Diarrheal Diseases",WA,2011,0,Garfield
"Diarrheal Diseases",AR,2011,159,Garland
"Diarrheal Diseases",KY,2011,10,Garrard
"Diarrheal Diseases",MD,2011,53,Garrett
"Diarrheal Diseases",OK,2011,38,Garvin
"Diarrheal Diseases",TX,2011,4,Garza
"Diarrheal Diseases",MO,2011,13,Gasconade
"Diarrheal Diseases",NC,2011,259,Gaston
"Diarrheal Diseases",NC,2011,5,Gates
"Diarrheal Diseases",KS,2011,12,Geary
"Diarrheal Diseases",OH,2011,60,Geauga
"Diarrheal Diseases",ID,2011,24,Gem
"Diarrheal Diseases",MI,2011,394,Genesee
"Diarrheal Diseases",NY,2011,51,Genesee
"Diarrheal Diseases",AL,2011,12,Geneva
"Diarrheal Diseases",MO,2011,7,Gentry
"Diarrheal Diseases",MS,2011,15,George
"Diarrheal Diseases",SC,2011,93,Georgetown
"Diarrheal Diseases",IN,2011,15,Gibson
"Diarrheal Diseases",TN,2011,57,Gibson
"Diarrheal Diseases",AZ,2011,52,Gila
"Diarrheal Diseases",FL,2011,18,Gilchrist
"Diarrheal Diseases",TN,2011,17,Giles
"Diarrheal Diseases",VA,2011,14,Giles
"Diarrheal Diseases",TX,2011,23,Gillespie
"Diarrheal Diseases",OR,2011,0,Gilliam
"Diarrheal Diseases",GA,2011,45,Gilmer
"Diarrheal Diseases",WV,2011,6,Gilmer
"Diarrheal Diseases",CO,2011,9,Gilpin
"Diarrheal Diseases",MT,2011,8,Glacier
"Diarrheal Diseases",FL,2011,4,Glades
"Diarrheal Diseases",MI,2011,55,Gladwin
"Diarrheal Diseases",GA,2011,1,Glascock
"Diarrheal Diseases",TX,2011,1,Glasscock
"Diarrheal Diseases",CA,2011,18,Glenn
"Diarrheal Diseases",NJ,2011,122,Gloucester
"Diarrheal Diseases",VA,2011,43,Gloucester
"Diarrheal Diseases",GA,2011,138,Glynn
"Diarrheal Diseases",MI,2011,5,Gogebic
"Diarrheal Diseases",MT,2011,1,"Golden Valley"
"Diarrheal Diseases",ND,2011,0,"Golden Valley"
"Diarrheal Diseases",TX,2011,2,Goliad
"Diarrheal Diseases",TX,2011,13,Gonzales
"Diarrheal Diseases",VA,2011,24,Goochland
"Diarrheal Diseases",MN,2011,45,Goodhue
"Diarrheal Diseases",ID,2011,12,Gooding
"Diarrheal Diseases",GA,2011,32,Gordon
"Diarrheal Diseases",WY,2011,3,Goshen
"Diarrheal Diseases",NE,2011,1,Gosper
"Diarrheal Diseases",KS,2011,1,Gove
"Diarrheal Diseases",GA,2011,17,Grady
"Diarrheal Diseases",OK,2011,53,Grady
"Diarrheal Diseases",NH,2011,51,Grafton
"Diarrheal Diseases",AZ,2011,23,Graham
"Diarrheal Diseases",KS,2011,2,Graham
"Diarrheal Diseases",NC,2011,11,Graham
"Diarrheal Diseases",TN,2011,13,Grainger
"Diarrheal Diseases",CO,2011,11,Grand
"Diarrheal Diseases",UT,2011,18,Grand
"Diarrheal Diseases",ND,2011,61,"Grand Forks"
"Diarrheal Diseases",VT,2011,11,"Grand Isle"
"Diarrheal Diseases",MI,2011,59,"Grand Traverse"
"Diarrheal Diseases",MT,2011,0,Granite
"Diarrheal Diseases",AR,2011,10,Grant
"Diarrheal Diseases",IN,2011,20,Grant
"Diarrheal Diseases",KS,2011,4,Grant
"Diarrheal Diseases",KY,2011,10,Grant
"Diarrheal Diseases",LA,2011,27,Grant
"Diarrheal Diseases",MN,2011,11,Grant
"Diarrheal Diseases",ND,2011,2,Grant
"Diarrheal Diseases",NE,2011,1,Grant
"Diarrheal Diseases",NM,2011,36,Grant
"Diarrheal Diseases",OK,2011,4,Grant
"Diarrheal Diseases",OR,2011,3,Grant
"Diarrheal Diseases",SD,2011,2,Grant
"Diarrheal Diseases",WA,2011,59,Grant
"Diarrheal Diseases",WI,2011,45,Grant
"Diarrheal Diseases",WV,2011,13,Grant
"Diarrheal Diseases",NC,2011,68,Granville
"Diarrheal Diseases",MI,2011,18,Gratiot
"Diarrheal Diseases",KY,2011,31,Graves
"Diarrheal Diseases",KS,2011,3,Gray
"Diarrheal Diseases",TX,2011,16,Gray
"Diarrheal Diseases",WA,2011,33,"Grays Harbor"
"Diarrheal Diseases",KY,2011,17,Grayson
"Diarrheal Diseases",TX,2011,59,Grayson
"Diarrheal Diseases",VA,2011,9,Grayson
"Diarrheal Diseases",KS,2011,1,Greeley
"Diarrheal Diseases",NE,2011,2,Greeley
"Diarrheal Diseases",KY,2011,11,Green
"Diarrheal Diseases",WI,2011,23,Green
"Diarrheal Diseases",WI,2011,24,"Green Lake"
"Diarrheal Diseases",WV,2011,64,Greenbrier
"Diarrheal Diseases",AL,2011,13,Greene
"Diarrheal Diseases",AR,2011,14,Greene
"Diarrheal Diseases",GA,2011,6,Greene
"Diarrheal Diseases",IA,2011,8,Greene
"Diarrheal Diseases",IL,2011,5,Greene
"Diarrheal Diseases",IN,2011,29,Greene
"Diarrheal Diseases",MO,2011,251,Greene
"Diarrheal Diseases",MS,2011,7,Greene
"Diarrheal Diseases",NC,2011,6,Greene
"Diarrheal Diseases",NY,2011,31,Greene
"Diarrheal Diseases",OH,2011,169,Greene
"Diarrheal Diseases",PA,2011,36,Greene
"Diarrheal Diseases",TN,2011,65,Greene
"Diarrheal Diseases",VA,2011,5,Greene
"Diarrheal Diseases",AZ,2011,3,Greenlee
"Diarrheal Diseases",VA,2011,10,Greensville
"Diarrheal Diseases",KY,2011,71,Greenup
"Diarrheal Diseases",SC,2011,466,Greenville
"Diarrheal Diseases",KS,2011,6,Greenwood
"Diarrheal Diseases",SC,2011,92,Greenwood
"Diarrheal Diseases",OK,2011,2,Greer
"Diarrheal Diseases",TX,2011,51,Gregg
"Diarrheal Diseases",SD,2011,6,Gregory
"Diarrheal Diseases",MS,2011,19,Grenada
"Diarrheal Diseases",ND,2011,0,Griggs
"Diarrheal Diseases",TX,2011,19,Grimes
"Diarrheal Diseases",IA,2011,7,Grundy
"Diarrheal Diseases",IL,2011,19,Grundy
"Diarrheal Diseases",MO,2011,9,Grundy
"Diarrheal Diseases",TN,2011,14,Grundy
"Diarrheal Diseases",NM,2011,1,Guadalupe
"Diarrheal Diseases",TX,2011,231,Guadalupe
"Diarrheal Diseases",OH,2011,28,Guernsey
"Diarrheal Diseases",NC,2011,549,Guilford
"Diarrheal Diseases",FL,2011,7,Gulf
"Diarrheal Diseases",CO,2011,10,Gunnison
"Diarrheal Diseases",IA,2011,21,Guthrie
"Diarrheal Diseases",GA,2011,1044,Gwinnett
"Diarrheal Diseases",SD,2011,2,Haakon
"Diarrheal Diseases",GA,2011,31,Habersham
"Diarrheal Diseases",AK,2011,1,Haines
"Diarrheal Diseases",AL,2011,27,Hale
"Diarrheal Diseases",TX,2011,20,Hale
"Diarrheal Diseases",NC,2011,90,Halifax
"Diarrheal Diseases",VA,2011,24,Halifax
"Diarrheal Diseases",GA,2011,74,Hall
"Diarrheal Diseases",NE,2011,30,Hall
"Diarrheal Diseases",TX,2011,5,Hall
"Diarrheal Diseases",TN,2011,73,Hamblen
"Diarrheal Diseases",FL,2011,9,Hamilton
"Diarrheal Diseases",IA,2011,5,Hamilton
"Diarrheal Diseases",IL,2011,8,Hamilton
"Diarrheal Diseases",IN,2011,652,Hamilton
"Diarrheal Diseases",KS,2011,1,Hamilton
"Diarrheal Diseases",NE,2011,4,Hamilton
"Diarrheal Diseases",NY,2011,2,Hamilton
"Diarrheal Diseases",OH,2011,952,Hamilton
"Diarrheal Diseases",TN,2011,213,Hamilton
"Diarrheal Diseases",TX,2011,6,Hamilton
"Diarrheal Diseases",SD,2011,2,Hamlin
"Diarrheal Diseases",MA,2011,216,Hampden
"Diarrheal Diseases",MA,2011,71,Hampshire
"Diarrheal Diseases",WV,2011,17,Hampshire
"Diarrheal Diseases",SC,2011,18,Hampton
"Diarrheal Diseases",VA,2011,68,"Hampton City"
"Diarrheal Diseases",GA,2011,10,Hancock
"Diarrheal Diseases",IA,2011,8,Hancock
"Diarrheal Diseases",IL,2011,41,Hancock
"Diarrheal Diseases",IN,2011,43,Hancock
"Diarrheal Diseases",KY,2011,7,Hancock
"Diarrheal Diseases",ME,2011,46,Hancock
"Diarrheal Diseases",MS,2011,42,Hancock
"Diarrheal Diseases",OH,2011,62,Hancock
"Diarrheal Diseases",TN,2011,5,Hancock
"Diarrheal Diseases",WV,2011,44,Hancock
"Diarrheal Diseases",SD,2011,2,Hand
"Diarrheal Diseases",VA,2011,29,Hanover
"Diarrheal Diseases",TX,2011,3,Hansford
"Diarrheal Diseases",SD,2011,1,Hanson
"Diarrheal Diseases",GA,2011,21,Haralson
"Diarrheal Diseases",FL,2011,18,Hardee
"Diarrheal Diseases",TN,2011,9,Hardeman
"Diarrheal Diseases",TX,2011,1,Hardeman
"Diarrheal Diseases",IA,2011,12,Hardin
"Diarrheal Diseases",IL,2011,5,Hardin
"Diarrheal Diseases",KY,2011,64,Hardin
"Diarrheal Diseases",OH,2011,26,Hardin
"Diarrheal Diseases",TN,2011,26,Hardin
"Diarrheal Diseases",TX,2011,22,Hardin
"Diarrheal Diseases",NM,2011,1,Harding
"Diarrheal Diseases",SD,2011,0,Harding
"Diarrheal Diseases",WV,2011,21,Hardy
"Diarrheal Diseases",MD,2011,90,Harford
"Diarrheal Diseases",KY,2011,58,Harlan
"Diarrheal Diseases",NE,2011,1,Harlan
"Diarrheal Diseases",OK,2011,1,Harmon
"Diarrheal Diseases",NC,2011,59,Harnett
"Diarrheal Diseases",OR,2011,7,Harney
"Diarrheal Diseases",KS,2011,5,Harper
"Diarrheal Diseases",OK,2011,1,Harper
"Diarrheal Diseases",GA,2011,38,Harris
"Diarrheal Diseases",TX,2011,1076,Harris
"Diarrheal Diseases",IA,2011,8,Harrison
"Diarrheal Diseases",IN,2011,25,Harrison
"Diarrheal Diseases",KY,2011,11,Harrison
"Diarrheal Diseases",MO,2011,4,Harrison
"Diarrheal Diseases",MS,2011,102,Harrison
"Diarrheal Diseases",OH,2011,19,Harrison
"Diarrheal Diseases",TX,2011,129,Harrison
"Diarrheal Diseases",WV,2011,51,Harrison
"Diarrheal Diseases",VA,2011,40,"Harrisonburg City"
"Diarrheal Diseases",GA,2011,38,Hart
"Diarrheal Diseases",KY,2011,15,Hart
"Diarrheal Diseases",CT,2011,1009,Hartford
"Diarrheal Diseases",TX,2011,1,Hartley
"Diarrheal Diseases",KS,2011,26,Harvey
"Diarrheal Diseases",KS,2011,1,Haskell
"Diarrheal Diseases",OK,2011,9,Haskell
"Diarrheal Diseases",TX,2011,1,Haskell
"Diarrheal Diseases",HI,2011,98,Hawaii
"Diarrheal Diseases",TN,2011,46,Hawkins
"Diarrheal Diseases",NE,2011,0,Hayes
"Diarrheal Diseases",TX,2011,75,Hays
"Diarrheal Diseases",NC,2011,51,Haywood
"Diarrheal Diseases",TN,2011,17,Haywood
"Diarrheal Diseases",GA,2011,5,Heard
"Diarrheal Diseases",TX,2011,1,Hemphill
"Diarrheal Diseases",AR,2011,13,Hempstead
"Diarrheal Diseases",IL,2011,3,Henderson
"Diarrheal Diseases",KY,2011,43,Henderson
"Diarrheal Diseases",NC,2011,90,Henderson
"Diarrheal Diseases",TN,2011,28,Henderson
"Diarrheal Diseases",TX,2011,53,Henderson
"Diarrheal Diseases",IN,2011,290,Hendricks
"Diarrheal Diseases",FL,2011,20,Hendry
"Diarrheal Diseases",MN,2011,1924,Hennepin
"Diarrheal Diseases",VA,2011,570,Henrico
"Diarrheal Diseases",AL,2011,20,Henry
"Diarrheal Diseases",GA,2011,92,Henry
"Diarrheal Diseases",IA,2011,14,Henry
"Diarrheal Diseases",IL,2011,45,Henry
"Diarrheal Diseases",IN,2011,62,Henry
"Diarrheal Diseases",KY,2011,19,Henry
"Diarrheal Diseases",MO,2011,10,Henry
"Diarrheal Diseases",OH,2011,16,Henry
"Diarrheal Diseases",TN,2011,31,Henry
"Diarrheal Diseases",VA,2011,55,Henry
"Diarrheal Diseases",NY,2011,29,Herkimer
"Diarrheal Diseases",FL,2011,218,Hernando
"Diarrheal Diseases",NC,2011,15,Hertford
"Diarrheal Diseases",ND,2011,1,Hettinger
"Diarrheal Diseases",KY,2011,2,Hickman
"Diarrheal Diseases",TN,2011,12,Hickman
"Diarrheal Diseases",MO,2011,8,Hickory
"Diarrheal Diseases",NM,2011,2,Hidalgo
"Diarrheal Diseases",TX,2011,543,Hidalgo
"Diarrheal Diseases",OH,2011,25,Highland
"Diarrheal Diseases",VA,2011,2,Highland
"Diarrheal Diseases",FL,2011,125,Highlands
"Diarrheal Diseases",MT,2011,9,Hill
"Diarrheal Diseases",TX,2011,11,Hill
"Diarrheal Diseases",FL,2011,472,Hillsborough
"Diarrheal Diseases",NH,2011,291,Hillsborough
"Diarrheal Diseases",MI,2011,30,Hillsdale
"Diarrheal Diseases",MS,2011,129,Hinds
"Diarrheal Diseases",CO,2011,1,Hinsdale
"Diarrheal Diseases",NE,2011,1,Hitchcock
"Diarrheal Diseases",OH,2011,57,Hocking
"Diarrheal Diseases",TX,2011,12,Hockley
"Diarrheal Diseases",KS,2011,1,Hodgeman
"Diarrheal Diseases",NC,2011,18,Hoke
"Diarrheal Diseases",FL,2011,26,Holmes
"Diarrheal Diseases",MS,2011,9,Holmes
"Diarrheal Diseases",OH,2011,26,Holmes
"Diarrheal Diseases",MO,2011,2,Holt
"Diarrheal Diseases",NE,2011,9,Holt
"Diarrheal Diseases",HI,2011,512,Honolulu
"Diarrheal Diseases",TX,2011,38,Hood
"Diarrheal Diseases",OR,2011,9,"Hood River"
"Diarrheal Diseases",NE,2011,1,Hooker
"Diarrheal Diseases",VA,2011,35,"Hopewell City"
"Diarrheal Diseases",KY,2011,23,Hopkins
"Diarrheal Diseases",TX,2011,21,Hopkins
"Diarrheal Diseases",SC,2011,413,Horry
"Diarrheal Diseases",AR,2011,38,"Hot Spring"
"Diarrheal Diseases",WY,2011,1,"Hot Springs"
"Diarrheal Diseases",MI,2011,60,Houghton
"Diarrheal Diseases",AL,2011,65,Houston
"Diarrheal Diseases",GA,2011,48,Houston
"Diarrheal Diseases",MN,2011,24,Houston
"Diarrheal Diseases",TN,2011,17,Houston
"Diarrheal Diseases",TX,2011,31,Houston
