@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R3,5_clustered'

@attribute Instance_number numeric
@attribute disease_name {'Cerebrovascular Disease',Cholera,'Chronic lower respiratory diseases','Diabetes mellitus','Diarrheal Diseases',HIV/AIDS,'Influenza and pneumonia',Malaria,'Malignant tumours',Tuberculosis}
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute no_of_death numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
20310,Cholera,TN,22,cluster9
20311,'Diarrheal Diseases',AL,20,cluster1
20312,'Cerebrovascular Disease',GA,228,cluster3
20313,'Influenza and pneumonia',IA,10,cluster8
20314,Tuberculosis,MO,29,cluster6
20315,Malaria,VA,377,cluster7
20316,'Influenza and pneumonia',GA,75,cluster8
20317,'Chronic lower respiratory diseases',MI,93,cluster5
20318,'Chronic lower respiratory diseases',MI,33,cluster5
20319,HIV/AIDS,VA,51,cluster0
20320,'Malignant tumours',MD,68,cluster2
20321,'Influenza and pneumonia',SD,5,cluster8
20322,'Malignant tumours',MI,34,cluster2
20323,'Cerebrovascular Disease',WV,12,cluster3
20324,'Diarrheal Diseases',TX,58,cluster1
20325,'Chronic lower respiratory diseases',NE,2,cluster5
20326,'Diabetes mellitus',MO,25,cluster4
20327,'Influenza and pneumonia',IN,17,cluster8
20328,Tuberculosis,WI,28,cluster6
20329,'Malignant tumours',CO,12,cluster2
20330,Cholera,IL,113,cluster9
20331,Malaria,WY,37,cluster7
20332,'Cerebrovascular Disease',OH,44,cluster3
20333,Cholera,IN,85,cluster9
20334,Tuberculosis,IL,10,cluster6
20335,Cholera,MS,6,cluster9
20336,'Cerebrovascular Disease',MO,73,cluster3
20337,Tuberculosis,MA,1091,cluster6
20338,Malaria,TX,39,cluster7
20339,'Cerebrovascular Disease',WI,128,cluster3
20340,HIV/AIDS,NE,1,cluster0
20341,Tuberculosis,GA,391,cluster6
20342,'Influenza and pneumonia',IN,53,cluster8
20343,HIV/AIDS,GA,99,cluster0
20344,Malaria,PA,340,cluster7
20345,Cholera,SD,2,cluster9
20346,'Malignant tumours',OH,34,cluster2
20347,'Cerebrovascular Disease',KS,64,cluster3
20348,HIV/AIDS,WV,45,cluster0
20349,Tuberculosis,IA,137,cluster6
20350,'Chronic lower respiratory diseases',NY,115,cluster5
20351,'Malignant tumours',GA,12,cluster2
20352,'Influenza and pneumonia',TN,48,cluster8
20353,'Diabetes mellitus',TN,18,cluster4
20354,'Influenza and pneumonia',OK,3,cluster8
20355,'Malignant tumours',FL,261,cluster2
20356,HIV/AIDS,CA,427,cluster0
20357,Malaria,FL,480,cluster7
20358,'Diabetes mellitus',KS,40,cluster4
20359,HIV/AIDS,CA,942,cluster0
20360,'Diabetes mellitus',MI,27,cluster4
20361,'Malignant tumours',MI,71,cluster2
20362,HIV/AIDS,TX,0,cluster0
20363,Cholera,MD,588,cluster9
20364,'Diabetes mellitus',NJ,571,cluster4
20365,Tuberculosis,OH,15,cluster6
20366,Tuberculosis,KY,43,cluster6
20367,'Diabetes mellitus',WV,50,cluster4
20368,'Influenza and pneumonia',IL,26,cluster8
20369,HIV/AIDS,OH,55,cluster0
20370,'Malignant tumours',OR,122,cluster2
20371,'Chronic lower respiratory diseases',WA,53,cluster5
20372,'Diabetes mellitus',ND,8,cluster4
20373,Tuberculosis,GA,7,cluster6
20374,'Malignant tumours',IL,7,cluster2
20375,'Malignant tumours',OR,149,cluster2
20376,Tuberculosis,TX,30,cluster6
20377,'Diarrheal Diseases',KS,0,cluster1
20378,'Cerebrovascular Disease',AL,59,cluster3
20379,'Influenza and pneumonia',NY,1157,cluster8
20380,'Cerebrovascular Disease',SD,2,cluster3
20381,'Cerebrovascular Disease',IA,2,cluster3
20382,'Malignant tumours',IA,28,cluster2
20383,'Malignant tumours',MN,2,cluster2
20384,'Malignant tumours',IL,14,cluster2
20385,'Malignant tumours',VA,292,cluster2
20386,'Diarrheal Diseases',WI,22,cluster1
20387,'Chronic lower respiratory diseases',CA,468,cluster5
20388,'Malignant tumours',IA,131,cluster2
20389,Cholera,IN,23,cluster9
20390,Tuberculosis,SD,2,cluster6
20391,Malaria,SD,9,cluster7
20392,HIV/AIDS,TX,7,cluster0
20393,Cholera,IL,279,cluster9
20394,'Malignant tumours',FL,114,cluster2
20395,HIV/AIDS,CO,83,cluster0
20396,'Chronic lower respiratory diseases',CO,27,cluster5
20397,Malaria,MO,311,cluster7
20398,Cholera,VT,9,cluster9
20399,'Influenza and pneumonia',NE,36,cluster8
20400,'Diabetes mellitus',KS,6,cluster4
20401,HIV/AIDS,GA,5,cluster0
20402,Malaria,TX,4,cluster7
20403,'Chronic lower respiratory diseases',OH,114,cluster5
20404,'Malignant tumours',AL,43,cluster2
20405,'Malignant tumours',AZ,88,cluster2
20406,Cholera,MS,16,cluster9
20407,'Chronic lower respiratory diseases',IN,19,cluster5
20408,'Chronic lower respiratory diseases',MO,21,cluster5
20409,'Diarrheal Diseases',MO,256,cluster1
20410,Cholera,OK,4,cluster9
20411,Malaria,NE,0,cluster7
20412,Tuberculosis,AL,7,cluster6
20413,Cholera,ME,31,cluster9
20414,Tuberculosis,VA,8,cluster6
20415,Malaria,MO,39,cluster7
20416,Cholera,KS,16,cluster9
20417,Cholera,GA,36,cluster9
20418,HIV/AIDS,MO,3,cluster0
20419,'Diarrheal Diseases',TX,5,cluster1
20420,'Diarrheal Diseases',SD,2,cluster1
20421,'Diabetes mellitus',MO,9,cluster4
20422,'Diabetes mellitus',ND,1,cluster4
20423,'Influenza and pneumonia',VA,15,cluster8
20424,'Influenza and pneumonia',WY,12,cluster8
20425,Cholera,NE,6,cluster9
20426,Cholera,GA,24,cluster9
20427,Tuberculosis,KY,36,cluster6
20428,'Chronic lower respiratory diseases',VA,111,cluster5
20429,'Cerebrovascular Disease',MN,2,cluster3
20430,'Diabetes mellitus',VA,14,cluster4
20431,'Malignant tumours',TX,8,cluster2
20432,'Cerebrovascular Disease',MI,79,cluster3
20433,Tuberculosis,TN,44,cluster6
20434,'Malignant tumours',KS,2,cluster2
20435,'Chronic lower respiratory diseases',OK,376,cluster5
20436,Cholera,TX,26,cluster9
20437,Malaria,NC,85,cluster7
20438,'Cerebrovascular Disease',LA,26,cluster3
20439,'Cerebrovascular Disease',KY,27,cluster3
20440,Tuberculosis,MS,34,cluster6
20441,HIV/AIDS,TX,4,cluster0
20442,'Diarrheal Diseases',TN,49,cluster1
20443,Cholera,TX,14,cluster9
20444,HIV/AIDS,CO,5,cluster0
20445,'Malignant tumours',WI,68,cluster2
20446,'Diabetes mellitus',WI,831,cluster4
20447,'Malignant tumours',IN,7,cluster2
20448,Malaria,NE,7,cluster7
20449,'Malignant tumours',PA,305,cluster2
20450,'Diarrheal Diseases',MO,4,cluster1
20451,Tuberculosis,NM,5,cluster6
20452,'Diabetes mellitus',MO,21,cluster4
20453,'Diarrheal Diseases',NM,137,cluster1
20454,HIV/AIDS,CA,7,cluster0
20455,'Malignant tumours',FL,5,cluster2
20456,'Influenza and pneumonia',TX,14,cluster8
20457,'Cerebrovascular Disease',NC,22,cluster3
20458,Malaria,OK,2,cluster7
20459,Cholera,TX,54,cluster9
20460,'Malignant tumours',PA,22,cluster2
20461,Tuberculosis,NM,3,cluster6
20462,Cholera,IN,315,cluster9
20463,'Malignant tumours',WI,30,cluster2
20464,'Diabetes mellitus',VA,81,cluster4
20465,'Diarrheal Diseases',VA,15,cluster1
20466,HIV/AIDS,MI,22,cluster0
20467,'Chronic lower respiratory diseases',WY,12,cluster5
20468,Malaria,NE,11,cluster7
20469,Malaria,WV,22,cluster7
20470,'Malignant tumours',MI,30,cluster2
20471,HIV/AIDS,MA,16,cluster0
20472,'Influenza and pneumonia',OH,29,cluster8
20473,HIV/AIDS,CA,26,cluster0
20474,Malaria,VA,47,cluster7
20475,'Influenza and pneumonia',OH,23,cluster8
20476,Malaria,KY,27,cluster7
20477,Malaria,SC,39,cluster7
20478,Cholera,MS,15,cluster9
20479,'Influenza and pneumonia',KS,2,cluster8
20480,'Chronic lower respiratory diseases',MN,9,cluster5
20481,'Influenza and pneumonia',KY,5,cluster8
20482,'Influenza and pneumonia',OH,187,cluster8
20483,'Influenza and pneumonia',IA,5,cluster8
20484,'Influenza and pneumonia',GA,12,cluster8
20485,Malaria,AK,2,cluster7
20486,'Diabetes mellitus',NE,8,cluster4
20487,HIV/AIDS,TX,35,cluster0
20488,Tuberculosis,IL,439,cluster6
20489,'Malignant tumours',NH,28,cluster2
20490,'Chronic lower respiratory diseases',MS,6,cluster5
20491,'Diabetes mellitus',TX,8,cluster4
20492,Tuberculosis,NE,7,cluster6
20493,Cholera,GA,4,cluster9
20494,Tuberculosis,WI,11,cluster6
20495,'Diabetes mellitus',OK,13,cluster4
20496,'Cerebrovascular Disease',IA,31,cluster3
20497,'Influenza and pneumonia',CO,142,cluster8
20498,'Diabetes mellitus',MT,1,cluster4
20499,'Diarrheal Diseases',WV,28,cluster1
20500,'Cerebrovascular Disease',KS,2,cluster3
20501,HIV/AIDS,MS,1,cluster0
20502,Malaria,MO,4,cluster7
20503,'Malignant tumours',CO,1,cluster2
20504,HIV/AIDS,TX,4,cluster0
20505,Malaria,UT,2,cluster7
20506,'Influenza and pneumonia',GA,14,cluster8
20507,Cholera,FL,8,cluster9
20508,HIV/AIDS,MN,11,cluster0
20509,Tuberculosis,IL,8,cluster6
20510,'Cerebrovascular Disease',ND,4,cluster3
20511,'Diarrheal Diseases',NC,34,cluster1
20512,HIV/AIDS,IN,53,cluster0
20513,'Diabetes mellitus',NE,5,cluster4
20514,'Malignant tumours',MD,29,cluster2
20515,'Malignant tumours',TX,63,cluster2
20516,'Cerebrovascular Disease',KS,13,cluster3
20517,Malaria,TX,215,cluster7
20518,'Cerebrovascular Disease',TX,21,cluster3
20519,HIV/AIDS,KS,213,cluster0
20520,'Malignant tumours',IN,36,cluster2
20521,HIV/AIDS,GA,7,cluster0
20522,'Diabetes mellitus',SD,0,cluster4
20523,'Influenza and pneumonia',ID,6,cluster8
20524,Malaria,MS,69,cluster7
20525,Malaria,OK,6,cluster7
20526,'Influenza and pneumonia',CA,50,cluster8
20527,Cholera,WY,85,cluster9
20528,'Influenza and pneumonia',MO,13,cluster8
20529,'Diabetes mellitus',VA,28,cluster4
20530,Tuberculosis,IN,67,cluster6
20531,Tuberculosis,AK,1,cluster6
20532,Tuberculosis,GA,5,cluster6
20533,'Cerebrovascular Disease',NC,60,cluster3
20534,'Cerebrovascular Disease',WI,181,cluster3
20535,'Diabetes mellitus',NV,6,cluster4
20536,Cholera,KS,10,cluster9
20537,Tuberculosis,NE,26,cluster6
20538,'Diarrheal Diseases',IL,24,cluster1
20539,Tuberculosis,KY,21,cluster6
20540,'Diabetes mellitus',PA,173,cluster4
20541,'Diabetes mellitus',SD,0,cluster4
20542,'Cerebrovascular Disease',OH,17,cluster3
20543,'Diarrheal Diseases',IN,58,cluster1
20544,HIV/AIDS,KY,6,cluster0
20545,Malaria,VA,46,cluster7
20546,'Malignant tumours',IL,27,cluster2
20547,'Chronic lower respiratory diseases',VA,34,cluster5
20548,'Influenza and pneumonia',IL,47,cluster8
20549,Cholera,IA,134,cluster9
20550,Cholera,TX,54,cluster9
20551,'Cerebrovascular Disease',KS,4,cluster3
20552,'Chronic lower respiratory diseases',MD,27,cluster5
20553,'Chronic lower respiratory diseases',IA,16,cluster5
20554,'Chronic lower respiratory diseases',OK,74,cluster5
20555,'Malignant tumours',IN,97,cluster2
20556,Malaria,NE,1,cluster7
20557,'Chronic lower respiratory diseases',MO,4,cluster5
20558,'Diarrheal Diseases',MD,76,cluster1
20559,'Influenza and pneumonia',KS,32,cluster8
20560,'Diarrheal Diseases',TX,1,cluster1
20561,'Cerebrovascular Disease',WI,59,cluster3
20562,Malaria,NE,2,cluster7
20563,'Diarrheal Diseases',OR,305,cluster1
20564,Malaria,ID,24,cluster7
20565,'Malignant tumours',GA,33,cluster2
20566,'Malignant tumours',AR,10,cluster2
20567,'Chronic lower respiratory diseases',KY,31,cluster5
20568,HIV/AIDS,MD,24,cluster0
20569,'Influenza and pneumonia',VA,16,cluster8
20570,'Influenza and pneumonia',NE,26,cluster8
20571,Cholera,ND,8,cluster9
20572,'Influenza and pneumonia',AL,26,cluster8
20573,Tuberculosis,NE,10,cluster6
20574,Cholera,TX,93,cluster9
20575,Malaria,KS,12,cluster7
20576,'Diabetes mellitus',SC,21,cluster4
20577,'Chronic lower respiratory diseases',WY,14,cluster5
20578,'Chronic lower respiratory diseases',MO,14,cluster5
20579,'Chronic lower respiratory diseases',WY,2,cluster5
20580,Malaria,IL,33,cluster7
20581,Cholera,KY,21,cluster9
20582,'Chronic lower respiratory diseases',MI,10,cluster5
20583,'Chronic lower respiratory diseases',MA,161,cluster5
20584,Cholera,VA,2,cluster9
20585,'Cerebrovascular Disease',NC,31,cluster3
20586,'Influenza and pneumonia',GA,9,cluster8
20587,'Cerebrovascular Disease',KS,2,cluster3
20588,Malaria,NE,603,cluster7
20589,Malaria,CA,8,cluster7
20590,Malaria,GA,19,cluster7
20591,'Cerebrovascular Disease',TN,501,cluster3
20592,'Chronic lower respiratory diseases',NY,183,cluster5
20593,Tuberculosis,TX,1,cluster6
20594,'Diarrheal Diseases',TX,8,cluster1
20595,Tuberculosis,PA,495,cluster6
20596,'Chronic lower respiratory diseases',MS,31,cluster5
20597,HIV/AIDS,NC,134,cluster0
20598,Cholera,OH,67,cluster9
20599,Malaria,TN,26,cluster7
20600,Cholera,OK,8,cluster9
20601,Cholera,IL,71,cluster9
20602,'Diabetes mellitus',OH,27,cluster4
20603,Malaria,NM,9,cluster7
20604,Cholera,OK,29,cluster9
20605,Tuberculosis,WV,8,cluster6
20606,Tuberculosis,FL,130,cluster6
20607,'Influenza and pneumonia',TX,197,cluster8
20608,'Cerebrovascular Disease',IL,4,cluster3
20609,'Chronic lower respiratory diseases',GA,6,cluster5
20610,'Chronic lower respiratory diseases',TX,13,cluster5
20611,'Malignant tumours',MI,47,cluster2
20612,Tuberculosis,NC,108,cluster6
20613,'Malignant tumours',AL,27,cluster2
20614,'Influenza and pneumonia',IN,81,cluster8
20615,Malaria,LA,171,cluster7
20616,'Cerebrovascular Disease',IL,8,cluster3
20617,'Diarrheal Diseases',NC,150,cluster1
20618,'Influenza and pneumonia',MT,2,cluster8
20619,HIV/AIDS,KS,7,cluster0
20620,Tuberculosis,NY,272,cluster6
20621,'Diarrheal Diseases',KS,2,cluster1
20622,'Diabetes mellitus',TN,23,cluster4
20623,'Malignant tumours',WV,58,cluster2
20624,'Diabetes mellitus',SD,10,cluster4
20625,HIV/AIDS,GA,66,cluster0
20626,Cholera,TX,0,cluster9
20627,Tuberculosis,MS,13,cluster6
20628,'Chronic lower respiratory diseases',AR,9,cluster5
20629,Cholera,PA,129,cluster9
20630,Tuberculosis,IA,25,cluster6
20631,'Influenza and pneumonia',AR,24,cluster8
20632,'Cerebrovascular Disease',MO,25,cluster3
20633,Cholera,KS,3,cluster9
20634,'Cerebrovascular Disease',WV,5,cluster3
20635,Cholera,OR,13,cluster9
20636,Tuberculosis,SC,404,cluster6
20637,'Malignant tumours',KY,9,cluster2
20638,HIV/AIDS,FL,11,cluster0
20639,Malaria,WY,115,cluster7
20640,Malaria,GA,3,cluster7
20641,Malaria,WA,113,cluster7
20642,Tuberculosis,IL,35,cluster6
20643,'Malignant tumours',TX,11,cluster2
20644,HIV/AIDS,MT,2,cluster0
20645,'Chronic lower respiratory diseases',MS,22,cluster5
20646,'Cerebrovascular Disease',CA,877,cluster3
20647,'Cerebrovascular Disease',NC,51,cluster3
20648,Tuberculosis,WY,5,cluster6
20649,'Diarrheal Diseases',VA,47,cluster1
20650,'Chronic lower respiratory diseases',TX,4,cluster5
20651,'Chronic lower respiratory diseases',NY,18,cluster5
20652,Malaria,SC,23,cluster7
20653,Cholera,GA,9,cluster9
20654,'Influenza and pneumonia',OR,402,cluster8
20655,Cholera,IL,100,cluster9
20656,Cholera,ID,3,cluster9
20657,'Diabetes mellitus',OH,610,cluster4
20658,Cholera,OH,103,cluster9
20659,HIV/AIDS,VA,33,cluster0
20660,'Influenza and pneumonia',NY,1019,cluster8
20661,'Chronic lower respiratory diseases',AR,6,cluster5
20662,'Malignant tumours',GA,16,cluster2
20663,'Cerebrovascular Disease',KS,2,cluster3
20664,'Cerebrovascular Disease',VA,80,cluster3
20665,'Cerebrovascular Disease',CO,66,cluster3
20666,Malaria,KY,45,cluster7
20667,'Chronic lower respiratory diseases',ND,19,cluster5
20668,'Cerebrovascular Disease',AR,111,cluster3
20669,Tuberculosis,MS,0,cluster6
20670,'Cerebrovascular Disease',KS,36,cluster3
20671,'Influenza and pneumonia',CA,17,cluster8
20672,'Malignant tumours',SC,21,cluster2
20673,HIV/AIDS,NY,20,cluster0
20674,'Malignant tumours',MS,11,cluster2
20675,Tuberculosis,WV,26,cluster6
20676,'Cerebrovascular Disease',PA,35,cluster3
20677,'Diarrheal Diseases',WA,58,cluster1
20678,Cholera,NC,65,cluster9
20679,'Diabetes mellitus',MO,14,cluster4
20680,HIV/AIDS,NY,63,cluster0
20681,HIV/AIDS,IL,9,cluster0
20682,'Malignant tumours',NE,17,cluster2
20683,'Malignant tumours',IA,5,cluster2
20684,'Cerebrovascular Disease',WY,4,cluster3
20685,'Cerebrovascular Disease',OH,27,cluster3
20686,Cholera,ID,56,cluster9
20687,'Malignant tumours',TX,13,cluster2
20688,'Influenza and pneumonia',MO,36,cluster8
20689,Cholera,PA,178,cluster9
20690,Malaria,TX,9,cluster7
20691,'Cerebrovascular Disease',IL,32,cluster3
20692,'Cerebrovascular Disease',PA,128,cluster3
20693,'Cerebrovascular Disease',KY,40,cluster3
20694,'Malignant tumours',WA,71,cluster2
20695,Malaria,WI,355,cluster7
20696,Tuberculosis,PA,514,cluster6
20697,Tuberculosis,TX,12,cluster6
20698,'Malignant tumours',TX,959,cluster2
20699,'Chronic lower respiratory diseases',LA,10,cluster5
20700,Malaria,WI,24,cluster7
20701,HIV/AIDS,NC,80,cluster0
20702,Cholera,GA,5,cluster9
20703,'Diabetes mellitus',CO,202,cluster4
20704,'Diarrheal Diseases',MN,17,cluster1
20705,Cholera,AK,1,cluster9
20706,Malaria,KY,8,cluster7
20707,'Influenza and pneumonia',TX,5,cluster8
20708,Cholera,KY,19,cluster9
20709,Tuberculosis,NC,33,cluster6
20710,'Chronic lower respiratory diseases',OK,15,cluster5
20711,Cholera,UT,28,cluster9
20712,HIV/AIDS,FL,45,cluster0
20713,Cholera,IA,10,cluster9
20714,'Diarrheal Diseases',TX,716,cluster1
20715,'Cerebrovascular Disease',TX,47,cluster3
20716,'Diabetes mellitus',MO,65,cluster4
20717,'Cerebrovascular Disease',TX,27,cluster3
20718,'Cerebrovascular Disease',NY,261,cluster3
20719,'Cerebrovascular Disease',WV,6,cluster3
20720,HIV/AIDS,KY,8,cluster0
20721,'Malignant tumours',OH,86,cluster2
20722,HIV/AIDS,IA,5,cluster0
20723,'Cerebrovascular Disease',IA,78,cluster3
20724,HIV/AIDS,NC,73,cluster0
20725,'Malignant tumours',KS,18,cluster2
20726,Malaria,MI,38,cluster7
20727,'Influenza and pneumonia',NC,73,cluster8
20728,'Diabetes mellitus',MO,12,cluster4
20729,Tuberculosis,MS,89,cluster6
20730,HIV/AIDS,AZ,327,cluster0
20731,Malaria,GA,7,cluster7
20732,Cholera,NE,4,cluster9
20733,Malaria,WI,33,cluster7
20734,'Influenza and pneumonia',IL,13,cluster8
20735,HIV/AIDS,ND,3,cluster0
20736,'Influenza and pneumonia',NE,449,cluster8
20737,HIV/AIDS,PA,52,cluster0
20738,Tuberculosis,AR,193,cluster6
20739,'Diabetes mellitus',AK,12,cluster4
20740,Malaria,NC,92,cluster7
20741,'Diarrheal Diseases',WI,558,cluster1
20742,HIV/AIDS,IA,9,cluster0
20743,'Diabetes mellitus',MI,90,cluster4
20744,'Malignant tumours',WA,228,cluster2
20745,Malaria,TX,93,cluster7
20746,Cholera,OK,9,cluster9
20747,'Chronic lower respiratory diseases',AR,14,cluster5
20748,'Diarrheal Diseases',IA,8,cluster1
20749,'Chronic lower respiratory diseases',IN,28,cluster5
20750,HIV/AIDS,VA,8,cluster0
20751,'Cerebrovascular Disease',MN,30,cluster3
20752,'Chronic lower respiratory diseases',NE,1,cluster5
20753,'Cerebrovascular Disease',AR,27,cluster3
20754,'Influenza and pneumonia',NJ,289,cluster8
20755,'Cerebrovascular Disease',MS,0,cluster3
20756,Tuberculosis,IL,27,cluster6
20757,'Influenza and pneumonia',NY,45,cluster8
20758,'Influenza and pneumonia',MT,1,cluster8
20759,'Cerebrovascular Disease',KS,26,cluster3
20760,Malaria,MT,2,cluster7
20761,Tuberculosis,IA,7,cluster6
20762,Cholera,TX,9,cluster9
20763,'Diarrheal Diseases',NE,7,cluster1
20764,'Chronic lower respiratory diseases',WV,21,cluster5
20765,'Influenza and pneumonia',IN,14,cluster8
20766,'Diarrheal Diseases',AL,64,cluster1
20767,'Malignant tumours',MN,3,cluster2
20768,'Chronic lower respiratory diseases',CO,17,cluster5
20769,Tuberculosis,WA,2,cluster6
20770,HIV/AIDS,ID,9,cluster0
20771,Cholera,OR,71,cluster9
20772,Cholera,TX,31,cluster9
20773,'Chronic lower respiratory diseases',OK,4,cluster5
20774,'Chronic lower respiratory diseases',AR,51,cluster5
20775,'Chronic lower respiratory diseases',TX,45,cluster5
20776,HIV/AIDS,NM,18,cluster0
20777,'Chronic lower respiratory diseases',IN,27,cluster5
20778,Malaria,FL,11,cluster7
20779,Cholera,MT,4,cluster9
20780,'Malignant tumours',AR,13,cluster2
20781,'Diabetes mellitus',VA,9,cluster4
20782,'Chronic lower respiratory diseases',AR,8,cluster5
20783,'Diabetes mellitus',TN,8,cluster4
20784,'Diabetes mellitus',TN,27,cluster4
20785,'Influenza and pneumonia',TX,22,cluster8
20786,'Influenza and pneumonia',TX,10,cluster8
20787,Tuberculosis,MS,2,cluster6
20788,HIV/AIDS,NM,44,cluster0
20789,'Chronic lower respiratory diseases',TX,52,cluster5
20790,HIV/AIDS,ID,19,cluster0
20791,Malaria,AL,8,cluster7
20792,'Malignant tumours',NY,292,cluster2
20793,Malaria,KS,2,cluster7
20794,Cholera,MN,26,cluster9
20795,HIV/AIDS,MO,16,cluster0
20796,'Diabetes mellitus',CA,452,cluster4
20797,Tuberculosis,NE,9,cluster6
20798,'Diarrheal Diseases',SC,14,cluster1
20799,Cholera,LA,127,cluster9
20800,Malaria,OR,14,cluster7
20801,HIV/AIDS,OH,44,cluster0
20802,'Chronic lower respiratory diseases',LA,16,cluster5
20803,'Cerebrovascular Disease',GA,74,cluster3
20804,HIV/AIDS,LA,24,cluster0
20805,'Diarrheal Diseases',FL,14,cluster1
20806,'Influenza and pneumonia',VA,110,cluster8
20807,Malaria,NY,789,cluster7
20808,'Diabetes mellitus',OK,19,cluster4
20809,'Diabetes mellitus',IA,9,cluster4
20810,Cholera,MN,10,cluster9
20811,'Influenza and pneumonia',CA,344,cluster8
20812,'Chronic lower respiratory diseases',MI,42,cluster5
20813,'Malignant tumours',CO,17,cluster2
20814,'Cerebrovascular Disease',IN,454,cluster3
20815,'Malignant tumours',AL,9,cluster2
20816,'Diarrheal Diseases',NJ,1208,cluster1
20817,'Diarrheal Diseases',IL,30,cluster1
20818,'Chronic lower respiratory diseases',MN,2,cluster5
20819,'Cerebrovascular Disease',KS,0,cluster3
20820,'Malignant tumours',PA,9,cluster2
20821,'Influenza and pneumonia',LA,24,cluster8
20822,Malaria,TX,63,cluster7
20823,'Cerebrovascular Disease',LA,106,cluster3
20824,'Cerebrovascular Disease',PA,55,cluster3
20825,'Influenza and pneumonia',KS,2,cluster8
20826,'Diarrheal Diseases',MO,9,cluster1
20827,'Diabetes mellitus',TN,34,cluster4
20828,'Diabetes mellitus',PA,49,cluster4
20829,HIV/AIDS,IA,9,cluster0
20830,Cholera,WI,3,cluster9
20831,HIV/AIDS,GA,9,cluster0
20832,Malaria,NY,93,cluster7
20833,Tuberculosis,WV,3,cluster6
20834,'Cerebrovascular Disease',IL,170,cluster3
20835,'Diabetes mellitus',TN,31,cluster4
20836,Tuberculosis,IA,23,cluster6
20837,'Diabetes mellitus',MO,21,cluster4
20838,Tuberculosis,WV,12,cluster6
20839,'Influenza and pneumonia',TX,25,cluster8
20840,'Diarrheal Diseases',KY,9,cluster1
20841,Cholera,WI,73,cluster9
20842,'Chronic lower respiratory diseases',NY,403,cluster5
20843,'Chronic lower respiratory diseases',SD,7,cluster5
20844,Tuberculosis,NC,21,cluster6
20845,'Malignant tumours',OH,19,cluster2
20846,'Diarrheal Diseases',IA,13,cluster1
20847,'Diarrheal Diseases',KS,2,cluster1
20848,'Influenza and pneumonia',OH,25,cluster8
20849,HIV/AIDS,LA,9,cluster0
20850,'Chronic lower respiratory diseases',SC,87,cluster5
20851,'Malignant tumours',IN,33,cluster2
20852,'Chronic lower respiratory diseases',MI,24,cluster5
20853,'Diabetes mellitus',PA,10,cluster4
20854,'Diarrheal Diseases',MT,2,cluster1
20855,Cholera,AL,9,cluster9
20856,'Diarrheal Diseases',GA,37,cluster1
20857,'Malignant tumours',IN,20,cluster2
20858,'Chronic lower respiratory diseases',SD,1,cluster5
20859,'Cerebrovascular Disease',MO,15,cluster3
20860,HIV/AIDS,IN,31,cluster0
20861,'Diarrheal Diseases',TX,54,cluster1
20862,'Malignant tumours',NY,504,cluster2
20863,HIV/AIDS,WA,24,cluster0
20864,'Chronic lower respiratory diseases',PA,142,cluster5
20865,Tuberculosis,KS,4,cluster6
20866,Cholera,AR,8,cluster9
20867,'Cerebrovascular Disease',IL,10,cluster3
20868,'Diarrheal Diseases',PA,282,cluster1
20869,Cholera,AL,76,cluster9
20870,'Diarrheal Diseases',NE,2,cluster1
20871,HIV/AIDS,IA,9,cluster0
20872,'Malignant tumours',GA,2,cluster2
20873,Cholera,NC,338,cluster9
20874,'Influenza and pneumonia',KY,7,cluster8
20875,Malaria,IL,14,cluster7
20876,'Malignant tumours',GA,9,cluster2
20877,Malaria,TN,50,cluster7
20878,'Diabetes mellitus',MS,32,cluster4
20879,'Influenza and pneumonia',NJ,168,cluster8
20880,Cholera,NC,15,cluster9
20881,Tuberculosis,TX,10,cluster6
20882,'Diabetes mellitus',TX,30,cluster4
20883,'Influenza and pneumonia',MN,6,cluster8
20884,Cholera,NC,63,cluster9
20885,'Malignant tumours',NE,8,cluster2
20886,Tuberculosis,TX,4,cluster6
20887,Malaria,NV,6,cluster7
20888,'Malignant tumours',TN,28,cluster2
20889,Tuberculosis,IL,8,cluster6
20890,HIV/AIDS,GA,23,cluster0
20891,'Cerebrovascular Disease',CO,1,cluster3
20892,'Malignant tumours',IL,88,cluster2
20893,HIV/AIDS,SD,5,cluster0
20894,'Malignant tumours',OK,13,cluster2
20895,'Chronic lower respiratory diseases',MN,42,cluster5
20896,Tuberculosis,KS,16,cluster6
20897,'Diarrheal Diseases',AK,2,cluster1
20898,Cholera,AR,12,cluster9
20899,HIV/AIDS,IL,29,cluster0
20900,'Malignant tumours',MS,12,cluster2
20901,Malaria,MN,12,cluster7
20902,'Diarrheal Diseases',MT,7,cluster1
20903,Tuberculosis,CA,260,cluster6
20904,'Malignant tumours',MO,8,cluster2
20905,Tuberculosis,LA,32,cluster6
20906,'Chronic lower respiratory diseases',VA,37,cluster5
20907,HIV/AIDS,NE,5,cluster0
